Lieu de surveillance : Entité de classement;Lieu de surveillance : Entité de classement : Identifiant;Lieu de surveillance : Entité de classement : Rang du lieu;Lieu de surveillance : Entité de classement : Libellé;Lieu de surveillance : Mnémonique;Lieu de surveillance : Libellé;Coordonnées passage : Coordonnées minx;Coordonnées passage : Coordonnées maxx;Coordonnées passage : Coordonnées miny;Coordonnées passage : Coordonnées maxy;Coordonnées passage : Coordonnées redéfinies;Passage : Date;Passage : Jour;Passage : Mois;Passage : Année;Echantillon : Identifiant interne;Echantillon : Libellé du taxon support;Résultat : Code paramètre;Résultat : Libellé fraction;Résultat : Libellé méthode;Résultat : Libellé précision;Résultat : Valeur de la mesure;Résultat : Valeur qualitative;Résultat : Symbole unité de mesure associé au quintuplet;Résultat : Libellé unité de mesure associé au quintuplet;Résultat : Commentaires;Résultat : Identifiant
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;31/10/2007;31;10;2007;5375230;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1780186
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;13/11/2007;13;11;2007;5375232;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1780193
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;12/12/2007;12;12;2007;5375218;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1780128
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;18/12/2007;18;12;2007;5375221;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1780139
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;17/01/2008;17;01;2008;5376418;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1785790
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;14/02/2008;14;02;2008;5377581;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1796315
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;07/03/2008;07;03;2008;5378050;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1797353
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;09/04/2008;09;04;2008;5380498;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1804931
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;24/04/2008;24;04;2008;5381109;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1806829
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;30/10/2008;30;10;2008;60016380;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60025297
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;15/11/2008;15;11;2008;60016400;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60025446
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;27/11/2008;27;11;2008;60016403;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60025615
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;09/12/2008;09;12;2008;60016420;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60025680
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;16/12/2008;16;12;2008;60016422;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60025706
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;0.633333333;0.633333333;49.68333333;49.68333333;1;12/03/2009;12;03;2009;60028045;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60044601
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;0.61666667;0.61666667;49.55;49.55;1;24/03/2009;24;03;2009;60027904;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60045033
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;0.0152783333;0.0152783333;50.3398083333;50.3398083333;1;06/04/2009;06;04;2009;60032041;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60049489
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;0.2980616667;0.2980616667;50.1962333333;50.1962333333;1;06/04/2009;06;04;2009;60032061;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60049429
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;21/04/2009;21;04;2009;60032554;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60050413
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;21/04/2009;21;04;2009;60032557;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60050421
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;04/05/2009;04;05;2009;60033078;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60053588
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;04/05/2009;04;05;2009;60033241;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60053586
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;29/03/2010;29;03;2010;60101857;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;60821136
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;0.31666667;0.31666667;50.23333333;50.23333333;1;28/03/2011;28;03;2011;60223532;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;62090085
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;20/09/2006;20;09;2006;5345508;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1672967
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;25/10/2008;25;10;2008;60030102;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;66983983
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;28/09/2011;28;09;2011;60268491;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;333;;µg.kg-1;Microgramme par kilogramme;Le laboratoire saisisseur n'a pas pris notre valeur de détection et aussi Mauvais arrondi pour le calcul du facteur de conversion donc changement de la limite de détection;63731578
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;17/10/2011;17;10;2011;60270001;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63731638
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;09/11/2011;09;11;2011;60272676;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63731658
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;22/11/2011;22;11;2011;60271978;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63731678
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;12/01/2012;12;01;2012;60281481;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63196139
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;08/02/2012;08;02;2012;60280719;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63098838
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;22/02/2012;22;02;2012;60281260;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63103502
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;14/03/2012;14;03;2012;60281424;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63107059
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;28/03/2012;28;03;2012;60281712;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63205308
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;17/04/2012;17;04;2012;60285581;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63281159
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;20/09/2012;20;09;2012;60329566;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63831108
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;07/10/2012;07;10;2012;60330014;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63839483
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.21667;1.21667;50.6125;50.6125;1;21/10/2012;21;10;2012;60333181;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63842606
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;04/11/2012;04;11;2012;60338481;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63857379
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.45306;1.45306;50.72694;50.72694;1;19/11/2012;19;11;2012;60344487;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63876298
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.60056;1.60056;50.88556;50.88556;1;02/12/2012;02;12;2012;60353067;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63904319
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.38222;1.38222;50.85111;50.85111;1;17/12/2012;17;12;2012;60366989;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63927998
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.21667;1.21667;50.6;50.6;1;30/12/2012;30;12;2012;60372267;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;63936938
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;0.52167;0.52167;50.63389;50.63389;1;13/01/2013;13;01;2013;60376007;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64026339
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.33889;1.33889;50.80278;50.80278;1;25/01/2013;25;01;2013;60387067;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64050618
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.21667;1.21667;50.6;50.6;1;09/02/2013;09;02;2013;60391167;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64062718
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.26389;1.26389;50.8;50.8;1;22/02/2013;22;02;2013;60394547;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64071638
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.38417;1.38417;50.68;50.68;1;09/03/2013;09;03;2013;60401928;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64095415
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166568982;1.2166568982;50.5499558077;50.5499558077;1;25/03/2013;25;03;2013;60402627;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64116402
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.47778;1.47778;50.67139;50.67139;1;08/04/2013;08;04;2013;60404727;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64138758
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.21944;1.21944;50.74556;50.74556;1;22/04/2013;22;04;2013;60406551;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64168403
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.28889;1.28889;50.68333;50.68333;1;04/05/2013;04;05;2013;60409850;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64204522
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.2166;1.2166;50.6;50.6;1;06/09/2013;06;09;2013;60460867;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64514018
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.15;1.15;50.37;50.37;1;24/09/2013;24;09;2013;60481727;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64572578
Zones marines;003;1;003 - Manche Nord Est - large;003-S-001;Manche Est Vergoyer - J;1.75;1.75;50.76;50.76;1;29/09/2013;29;09;2013;60469027;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;64536841
